TRUE,30111,2002,Arnow B A,Brain,1,Turgidity-correlated activations,Interoception.Sexuality,21
FALSE,11040055,2008,Malik S,Cell Metabolism,1,"Food - Scenery Images, Healthy Controls Who Received Ghrelin","Pharmacology.Steroids and Hormones,Perception.Gustation",24
FALSE,11040055,2008,Malik S,Cell Metabolism,2,"Food - Scenery Images, Healthy Controls Who Did Not Receive Ghrelin",Perception.Gustation,11
FALSE,11040055,2008,Malik S,Cell Metabolism,3,"Food - Scenery Images, All Healthy Controls","Pharmacology.Steroids and Hormones,Perception.Gustation",34
TRUE,11040055,2008,Malik S,Cell Metabolism,4,"Food - Scenery Images, Healthy Controls After Saline Infusion",Perception.Gustation,19
FALSE,11040055,2008,Malik S,Cell Metabolism,5,"Food - Scenery Images, Healthy Controls After Ghrelin Infusion","Pharmacology.Steroids and Hormones,Perception.Gustation",23
FALSE,11040055,2008,Malik S,Cell Metabolism,6,"Food - Scenery Images, Healthy Controls Who Did Not Receive Ghrelin (Both Sessions)",Perception.Gustation,10
FALSE,11040055,2008,Malik S,Cell Metabolism,7,"Controls Who Received Ghrelin > Controls Who Didn't Receive Ghrelin, Food - Scenery","Pharmacology.Steroids and Hormones,Perception.Gustation",9
FALSE,12020014,2011,Schulze L,Biological Psychiatry,1,"Initial Viewing: Negative Pictures > Neutral Pictures, Whole Group",Emotion.Other,22
FALSE,12020014,2011,Schulze L,Biological Psychiatry,2,"Initial Viewing: (HC, Negative > Neutral) > (BPD Patients, Negative > Neutral)",Emotion.Other,20
FALSE,12020014,2011,Schulze L,Biological Psychiatry,3,"(Decrease, Negative Pictures > Maintain, Negative Pictures), Whole Group","Emotion.Other,Cognition.Social Cognition",16
FALSE,12020014,2011,Schulze L,Biological Psychiatry,4,"(Increase, Negative Pictures > Maintain, Negative Pictures), Whole Group","Emotion.Other,Cognition.Social Cognition",23
FALSE,12020014,2011,Schulze L,Biological Psychiatry,5,"(Maintain, Negative Pictures > Increase, Negative Pictures), Whole Group","Emotion.Other,Cognition.Social Cognition",3
FALSE,12020014,2011,Schulze L,Biological Psychiatry,6,"(HC, Decrease > Maintain) > (BPD Patients, Decrease > Maintain), Negative Pictures","Emotion.Other,Cognition.Social Cognition",6
FALSE,12020014,2011,Schulze L,Biological Psychiatry,7,"(BPD Patients, Decrease > Maintain) > (HC, Decrease > Maintain), Negative Pictures","Emotion.Other,Cognition.Social Cognition",7
FALSE,12020014,2011,Schulze L,Biological Psychiatry,8,"(HC, Increase > Maintain) > (BPD Patients, Increase > Maintain), Negative Pictures","Emotion.Other,Cognition.Social Cognition",5
FALSE,12020014,2011,Schulze L,Biological Psychiatry,9,"(BPD Patients, Increase > Maintain) > (HC, Increase > Maintain), Negative Pictures","Emotion.Other,Cognition.Social Cognition",4
FALSE,12020014,2011,Schulze L,Biological Psychiatry,10,"Initial Viewing: Negative Pictures > Neutral Pictures, Healthy Controls",Emotion.Other,27
FALSE,12020014,2011,Schulze L,Biological Psychiatry,11,"Initial Viewing: Neutral Pictures > Negative Pictures, Healthy Controls",Emotion.Other,4
FALSE,12020014,2011,Schulze L,Biological Psychiatry,12,"Initial Viewing: Negative Pictures > Neutral Pictures, BPD Patients",Emotion.Other,10
FALSE,12020014,2011,Schulze L,Biological Psychiatry,13,"Initial Viewing: Neutral Pictures > Negative Pictures, BPD Patients",Emotion.Other,4
FALSE,12020014,2011,Schulze L,Biological Psychiatry,14,"(Decrease, Negative Pictures > Maintain, Negative Pictures), Healthy Controls","Emotion.Other,Cognition.Social Cognition",11
FALSE,12020014,2011,Schulze L,Biological Psychiatry,15,"(Maintain, Negative Pictures > Decrease, Negative Pictures), Healthy Controls","Emotion.Other,Cognition.Social Cognition",1
FALSE,12020014,2011,Schulze L,Biological Psychiatry,16,"(Decrease, Negative Pictures > Maintain, Negative Pictures), BPD Patients","Emotion.Other,Cognition.Social Cognition",6
TRUE,12020014,2011,Schulze L,Biological Psychiatry,17,"(Increase, Negative Pictures > Maintain, Negative Pictures), Healthy Controls","Emotion.Other,Cognition.Social Cognition",17
FALSE,12020014,2011,Schulze L,Biological Psychiatry,18,"(Maintain, Negative Pictures > Increase, Negative Pictures), Healthy Controls","Emotion.Other,Cognition.Social Cognition",1
FALSE,12020014,2011,Schulze L,Biological Psychiatry,19,"(Increase, Negative Pictures > Maintain, Negative Pictures), BPD Patients","Emotion.Other,Cognition.Social Cognition",11
TRUE,14050076,2012,Greck M D,NeuroImage,1,Intentional empathy for familiar angry > baseline - transcultural constants,"Emotion.Other,Cognition.Social Cognition",25
FALSE,14050076,2012,Greck M D,NeuroImage,2,"Intentional empathy for familiar angry > baseline, Chinese > Germans","Emotion.Other,Cognition.Social Cognition",1
FALSE,14050076,2012,Greck M D,NeuroImage,3,"Intentional empathy for familiar angry > baseline, Chinese > Germans","Emotion.Other,Cognition.Social Cognition",4
TRUE,14050076,2012,Greck M D,NeuroImage,4,Intentional empathy for familiar neutral > baseline - transcultural constants,"Emotion.Other,Cognition.Social Cognition",23
FALSE,14050076,2012,Greck M D,NeuroImage,5,"Intentional empathy for familiar neutral > baseline, Chinese > Germans","Emotion.Other,Cognition.Social Cognition",1
FALSE,14050076,2012,Greck M D,NeuroImage,6,"Intentional empathy for familiar neutral > baseline, Germans > Chinese","Emotion.Other,Cognition.Social Cognition",2
TRUE,15070100,2011,Billot P E,Neuroscience,1,"Isoamyl Acetate, 1 - Phenyl Ethyl Alcohol, 1",Perception.Olfaction,9
FALSE,15070100,2011,Billot P E,Neuroscience,2,"Isoamyl Acetate, 3 - Phenyl Ethyl Alcohol, 3",Perception.Olfaction,19
FALSE,15070100,2011,Billot P E,Neuroscience,3,"Isoamyl Acetate, 6 - Phenyl Ethyl Alcohol, 6",Perception.Olfaction,12
FALSE,16030067,2011,Dennis N A,Neurobiology of Aging,1,"High Confidence Hits > Misses, Explicit Learning, Younger Healthy Controls","Cognition.Memory.Explicit,Cognition.Language.Semantics",7
TRUE,16030067,2011,Dennis N A,Neurobiology of Aging,2,"High Confidence Hits > Misses, Explicit Learning, Older Healthy Controls","Cognition.Memory.Explicit,Cognition.Language.Semantics",5
FALSE,16030067,2011,Dennis N A,Neurobiology of Aging,3,"Sequence > Random, Implicit Learning, Younger Healthy Controls","Cognition.Attention,Cognition.Memory.Implicit",9
FALSE,16030067,2011,Dennis N A,Neurobiology of Aging,4,"Sequence > Random, Implicit Learning, Older Healthy Controls","Cognition.Attention,Cognition.Memory.Implicit",3
FALSE,16030067,2011,Dennis N A,Neurobiology of Aging,5,Age x Task,"Cognition.Memory.Explicit,Cognition.Memory.Implicit,Cognition.Attention,Cognition.Language.Semantics",4
